chain	iteration	posterior	likelihood	aRP1	aRP2	aRP3	aJZ1	aJZ2	aJZ3	aTZ1	aTZ2	aTZ3	startP1	startP2	startP3	startZ1	startZ2	startZ3	fR	K	sdZ	sdP	fJ	d	W	q
0	10000	-139.313165	-139.313165	14.501579	7.059114	46.502200	153.042408	154.792353	48.987999	0.826607	1.077866	2.571040	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100048	1.244718	1.250534	0.900000	0.062543	1.575050	1.392123
0	10100	-142.433026	-142.433026	11.588176	6.970555	58.913201	153.702278	157.375520	77.878388	0.968211	0.946142	2.483184	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100902	1.297417	1.783505	0.900000	0.017617	1.742658	1.420007
0	10200	-140.428293	-140.428293	9.324522	3.170817	48.298800	119.157014	138.321158	120.131284	0.372186	0.284588	2.964712	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.104608	1.129069	1.467339	0.900000	0.047138	2.652048	1.315337
0	10300	-144.649188	-144.649188	6.635270	3.629039	41.408642	76.105472	144.224703	78.032737	0.329500	0.574882	2.800749	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102408	1.413921	1.657946	0.900000	0.089483	3.694116	1.283595
0	10400	-143.716104	-143.716104	3.378558	1.553458	20.913398	87.225414	121.212513	69.573103	0.194018	0.329214	1.751830	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.108886	1.199306	1.598604	0.900000	0.009347	3.484639	1.296818
0	10500	-146.934812	-146.934812	5.587458	1.756350	26.323361	57.367557	157.947900	40.929380	0.297220	0.742809	3.549480	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100585	1.512511	1.547880	0.900000	0.045768	2.829700	1.343462
0	10600	-147.860463	-147.860463	13.240397	2.966528	18.365651	24.606844	185.334535	130.799523	0.410679	0.759458	3.284356	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.111020	1.183781	1.578917	0.900000	0.053632	1.217636	1.345791
0	10700	-140.339913	-140.339913	13.657825	3.946934	38.925026	116.115760	159.436563	161.360289	0.827079	1.584677	3.020163	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.107068	1.130781	1.805027	0.900000	0.066781	1.612426	1.323561
0	10800	-138.437114	-138.437114	12.763066	5.069986	52.052043	67.158304	185.844612	123.353715	0.384834	1.894818	2.703571	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.103889	0.947742	1.519613	0.900000	0.008251	1.941467	1.298699
0	10900	-141.258982	-141.258982	11.966758	8.123959	49.449389	97.817058	160.387593	42.135665	0.862281	2.112101	2.058802	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.106681	1.130141	1.795838	0.900000	0.012692	1.751283	1.298441
