ID	name	fixed?	type	lb	ub	priorl67	priormode	prioru67	rootRhat	postl95	postl67	postmean	postu67	postu95	LP_l95	LP_l67	LP_MLE	LP_u67	LP_u95
0	aRP1	-1	0	0.010000	200.000000	-999.0 	-999.0 	-999.0 	-999.000000	3.378558	10.898483	20.731361	34.767118	38.488653	17.981453	1.#INF00	15.318668	-1.#INF00	38.093681	
1	aRP2	-1	0	0.010000	200.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.068873	1.426080	3.295320	5.562273	7.956226	2.104841	1.#INF00	1.002654	-1.#INF00	5.562273	
2	aRP3	-1	0	0.010000	200.000000	-999.0 	-999.0 	-999.0 	-999.000000	20.467399	36.893873	60.962944	93.057305	105.867784	76.899058	1.#INF00	49.789846	-1.#INF00	102.018522	
3	aJZ1	-1	0	0.010000	200.000000	-999.0 	-999.0 	-999.0 	-999.000000	25.804705	65.772916	113.270650	172.261877	192.246777	46.551299	1.#INF00	87.154007	-1.#INF00	152.113663	
4	aJZ2	-1	0	0.010000	200.000000	-999.0 	-999.0 	-999.0 	-999.000000	29.467121	67.909412	112.331520	157.375520	186.518699	61.113809	1.#INF00	180.713741	-1.#INF00	186.518699	
5	aJZ3	-1	0	0.010000	200.000000	-999.0 	-999.0 	-999.0 	-999.000000	9.148817	38.147438	89.219160	152.702931	184.386474	19.392980	1.#INF00	126.008005	-1.#INF00	194.545461	
6	aTZ1	-1	0	0.010000	200.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.016149	0.194018	0.771541	1.594871	2.217254	0.122183	1.#INF00	0.079888	-1.#INF00	0.504629	
7	aTZ2	-1	0	0.010000	200.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.027006	0.304281	0.864889	1.453320	2.505776	0.559260	1.#INF00	0.912367	-1.#INF00	1.453320	
8	aTZ3	-1	0	0.010000	200.000000	-999.0 	-999.0 	-999.0 	-999.000000	1.850461	2.225941	2.694355	3.245019	3.549480	2.430678	1.#INF00	2.747096	-1.#INF00	3.177071	
9	startP1	1	0	1.000000	20.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.005000	0.005000	0.004950	0.005000	0.005000	0.005000	1.#INF00	0.005000	-1.#INF00	0.005000	
10	startP2	1	0	1.000000	20.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.048000	0.048000	0.047525	0.048000	0.048000	0.048000	1.#INF00	0.048000	-1.#INF00	0.048000	
11	startP3	1	0	1.000000	20.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.007000	0.007000	0.006931	0.007000	0.007000	0.007000	1.#INF00	0.007000	-1.#INF00	0.007000	
12	startZ1	1	0	1.000000	20.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.001000	0.001000	0.000990	0.001000	0.001000	0.001000	1.#INF00	0.001000	-1.#INF00	0.001000	
13	startZ2	1	0	1.000000	20.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.021000	0.021000	0.020792	0.021000	0.021000	0.021000	1.#INF00	0.021000	-1.#INF00	0.021000	
14	startZ3	1	0	1.000000	20.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.037000	0.037000	0.036634	0.037000	0.037000	0.037000	1.#INF00	0.037000	-1.#INF00	0.037000	
15	fR	1	0	0.100000	1.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.900000	0.900000	0.891089	0.900000	0.900000	0.900000	1.#INF00	0.900000	-1.#INF00	0.900000	
16	K	-1	0	0.100000	5.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.100136	0.101313	0.103669	0.108464	0.115289	0.100136	1.#INF00	0.100418	-1.#INF00	0.104330	
17	sdZ	-1	0	0.100000	5.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.934579	1.034485	1.159017	1.308193	1.479200	0.963782	1.#INF00	1.122196	-1.#INF00	1.212447	
18	sdP	-1	0	0.100000	5.000000	-999.0 	-999.0 	-999.0 	-999.000000	1.217761	1.323063	1.495454	1.675778	1.930353	1.263220	1.#INF00	1.486688	-1.#INF00	1.435931	
19	fJ	1	0	0.100000	1.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.900000	0.900000	0.891089	0.900000	0.900000	0.900000	1.#INF00	0.900000	-1.#INF00	0.900000	
20	d	-1	0	0.000010	0.100000	-999.0 	-999.0 	-999.0 	-999.000000	0.003485	0.016427	0.049549	0.082465	0.094546	0.003485	1.#INF00	0.017515	-1.#INF00	0.080994	
21	W	-1	0	0.100000	10.000000	-999.0 	-999.0 	-999.0 	-999.000000	0.827791	1.173246	1.888693	2.721696	3.491107	0.907267	1.#INF00	0.762109	-1.#INF00	2.410216	
22	q	-1	0	1.000000	2.500000	-999.0 	-999.0 	-999.0 	-999.000000	1.127839	1.227941	1.321555	1.438195	1.535406	1.225001	1.#INF00	1.866162	-1.#INF00	1.531246	

