P1	P2	P3	Z1	Z2	Z3	foundP1	foundP2	foundP3	foundZ1	foundZ2	foundZ3	
0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.004950	0.047525	0.006931	0.000990	0.020792	0.036634	
0.001000	0.010000	0.010000	0.010000	0.001000	0.010000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.005000	0.010000	0.015000	0.001000	0.007000	0.010000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.008000	0.004000	0.007000	0.010000	0.001000	0.026000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.016000	0.001000	0.007000	0.004000	0.026000	0.018000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.050000	0.001000	0.003000	0.003000	0.120000	0.010000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.028000	0.010000	0.014000	0.003000	0.049000	0.005000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.013000	0.002000	0.055000	0.003000	0.069000	0.001000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.014000	0.010000	0.022000	0.002000	0.058000	0.002000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.014000	0.010000	0.051000	0.003000	0.031000	0.010000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.012000	0.030000	0.044000	0.004000	0.067000	0.001000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.015000	0.009000	0.011000	0.002000	0.024000	0.003000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.006000	0.010000	0.021000	0.001000	0.024000	0.002000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
0.011000	0.010000	0.007000	0.004000	0.036000	0.001000	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	-1.#IND00	
