P1	P2	P3	Z1	Z2	Z3
0.005	0.048	0.007	0.001	0.021	0.037
0.001	0.01	0.01	0.01	0.001	0.01
0.005	0.01	0.015	0.001	0.007	0.01
0.008	0.004	0.007	0.01	0.001	0.026
0.016	0.001	0.007	0.004	0.026	0.018
0.05	0.001	0.003	0.003	0.12	0.01
0.028	0.01	0.014	0.003	0.049	0.005
0.013	0.002	0.055	0.003	0.069	0.001
0.014	0.01	0.022	0.002	0.058	0.002
0.014	0.01	0.051	0.003	0.031	0.01
0.012	0.03	0.044	0.004	0.067	0.001
0.015	0.009	0.011	0.002	0.024	0.003
0.006	0.01	0.021	0.001	0.024	0.002
0.011	0.01	0.007	0.004	0.036	0.001
